파타,46,197
나가,63,158
아카,42,159
타카,84,152
아바,55,197
바아,98,198
하가,94,186
라다,69,150
타타,59,180
차사,74,155
다차,80,157
아타,42,181
카다,50,159
카가,84,177
아라,90,153
아하,91,152
타사,49,163
가아,57,150
하하,69,171
자사,89,155
아가,59,168
타다,66,192
가하,77,160
가라,54,177
하마,81,154
하마,69,163
나나,58,174
사파,51,194
나가,84,189
카카,75,183
가차,70,175
아하,84,197
마하,75,153
바파,52,195
아하,77,170
사바,94,163
파다,57,162
마라,41,169
사차,76,182
하사,54,183
바자,72,180
나차,40,159
마파,81,193
파라,99,185
라카,90,179
가바,51,193
사마,93,186
하파,75,184
가라,74,158
하자,51,176
자아,60,175
하나,87,189
바파,83,156
아카,60,173
마카,85,188
자차,68,166
아하,51,177
아다,81,162
라바,43,176
아자,57,194
라아,84,194
다바,75,158
자자,84,184
자아,57,161
아아,93,157
나나,61,169
라가,88,151
파다,83,185
파타,60,162
타사,52,152
가카,58,198
하아,80,176
파사,50,177
사라,73,161
자타,80,181
차라,87,160
마사,60,189
다사,99,192
카차,76,164
차사,82,167
파파,86,183
카다,83,185
나바,62,188
하하,74,188
파바,83,176
카다,82,197
아아,67,177
라바,49,167
자다,53,165
타하,62,191
바바,54,183
마카,99,166
파타,61,178
나아,62,181
다마,89,188
아아,60,181
마사,83,185
사바,78,151
다파,59,156
라카,51,168
차아,92,189
아아,61,184
가자,98,177
카차,84,173
자마,59,178
마아,65,191
라바,89,154
카카,87,187
다파,63,175
사마,71,162
다다,80,155
차라,93,173
가마,70,166
마타,73,170
가카,70,174
아차,59,166
자나,95,156
아차,47,176
하라,74,174
하마,95,172
라라,48,155
파가,74,164
파라,99,158
아차,85,159
자카,80,169
사자,49,185
하사,76,167
가자,55,173
차파,94,184
파자,53,153
하파,82,174
아타,87,188
차하,97,165
다타,97,190
사라,52,183
차마,83,171
하자,66,168
다나,45,153
사바,62,177
나카,74,175
아가,70,159
하파,67,179
차하,42,165
라바,80,172
타다,80,188
다마,73,168
라차,53,196
파카,59,198
카타,99,158
가마,71,170
나카,81,162
가라,68,172
파하,51,168
카차,96,193
다카,54,171
파하,62,188
자다,45,189
차마,58,173
카다,44,171
바다,52,196
타타,58,190
카하,68,171
자하,95,198
아자,47,188
라라,79,199
다사,54,172
차라,48,170
타라,87,182
자자,77,169
차하,58,161
사다,68,164
카파,88,194
마바,99,183
타사,62,157
바아,50,194
가하,90,199
카차,70,193
타가,58,167
타차,82,156
하마,84,156
라카,58,156
차하,51,191
카아,61,180
바라,89,165
나다,98,158
바하,59,193
나아,48,177
아아,74,178
하나,50,152
바하,97,188
바자,76,174
사가,64,157
하아,84,163
다마,79,194
하아,86,151
나파,60,153
사바,64,161
타카,77,191
나사,78,174
다가,98,174
차사,93,194
라라,51,175
자차,81,194
파파,88,179
마라,60,199
가자,94,156
가자,68,172
라사,53,176
카사,77,165
라다,71,184
파마,79,169
나가,98,197
타하,80,170
라타,62,155
하차,52,178
파나,83,175
라하,75,187
아마,42,166
자자,73,196
파나,41,167
마가,79,153
카사,55,198
마아,66,166
자타,84,187
자아,41,162
자마,98,182
사타,68,193
나자,65,189
타나,68,171
파나,85,159
마타,83,160
다마,83,183
아파,53,199
자차,74,180
사바,49,183
사카,92,193
하다,73,187
바파,88,154
타카,47,183
다바,76,178
바하,64,176
라사,74,195
하아,52,187
카아,70,169
하파,64,157
파라,55,179
파파,68,175
차타,98,165
바하,99,156
차사,99,153
아하,62,159
사바,90,172
타바,77,155
나하,42,186
아라,48,192
파나,45,192
하타,72,191
사자,84,168
라카,88,187
타나,61,168
하하,43,194
아아,86,187
마마,55,199
나하,99,167
자차,61,162
바차,57,159
타바,46,160
타파,79,169
아아,76,160
다가,98,152
사차,78,184
카가,68,163
카가,72,156
라자,75,183
카라,95,173
카사,99,195
가아,73,196
라아,55,181
파라,69,198
아아,58,174
마사,47,164
라라,84,183
타마,80,170
카타,92,164
하라,69,199
가사,82,183
카다,78,185
타파,70,182
사자,78,189
사다,68,162
파라,42,179
하라,59,167
가카,42,170
자하,45,197
파사,54,162
나다,97,198
가가,58,195
가다,41,190
마마,50,168
차나,88,161
파마,58,197
바라,54,184
바하,66,174
마다,71,150
파하,59,155
하아,73,162
바카,95,153
하라,45,163
하차,98,179
카차,80,171
타파,43,170
차사,99,159
나하,40,164
사사,53,188
사마,72,151
자파,59,187
라차,52,195
사가,83,167
나마,72,170
카가,42,199
마카,79,162
자다,95,167
하라,63,156
하차,60,171
자하,65,154
가타,41,169
라나,61,171
다가,43,171
하카,82,178
하다,51,177
나나,70,150
나카,59,166
하아,93,168
마다,61,152
타하,76,180
바라,59,151
라하,65,184
자카,58,164
자라,74,178
사카,77,175
카마,79,197
아파,85,179
가다,84,160
라자,55,191
라사,51,161
파마,66,174
카라,74,193
마나,64,162
사바,98,198
자마,79,172
하가,75,193
아나,64,182
하라,58,187
라라,96,168
마타,69,189
하바,95,174
라아,72,172
하다,58,158
사카,79,159
바카,98,163
마파,56,155
다나,52,188
차하,53,156
가카,80,177
파마,49,195
바차,79,165
하사,52,170
다바,61,191
아자,93,188
다타,66,172
사차,96,160
다사,71,157
파가,93,151
타라,86,158
하사,97,168
다타,58,179
다파,84,172
차아,99,157
가라,53,177
나사,43,188
라사,53,172
가다,75,167
다나,58,162
가하,68,162
타나,54,163
파자,60,195
사다,95,174
차나,41,155
차바,90,176
가마,95,151
차가,80,156
나다,58,175
라라,47,188
마라,94,154
다차,88,177
아다,76,191
마하,98,158
차카,55,168
차카,71,150
자라,89,174
다자,84,156
하마,44,150
하파,76,152
파하,78,196
사다,67,196
차타,96,184
아마,70,190
아하,86,165
자바,63,193
자파,56,192
바카,58,185
하자,86,173
바하,63,188
마마,57,189
사바,81,166
다사,43,157
다카,52,183
사아,88,161
파나,46,188
파아,86,197
파가,80,195
타마,92,190
바파,90,150
바차,52,186
